TV001,Nguyễn Văn An,2001-05-12,Nam,0966666661,"Cầu Giấy, Hà Nội"
TV002,Trần Minh Tú,2000-08-20,Nữ,0966666662,"Hai Bà Trưng, Hà Nội"
TV003,Lê Hoàng Nam,2002-11-02,Nam,0966666663,"Thanh Xuân, Hà Nội"
TV004,Phạm Thu Trang,2001-03-15,Nữ,0966666664,"Đống Đa, Hà Nội"
TV005,Vũ Đức Long,1999-12-01,Nam,0966666665,"Hà Đông, Hà Nội"
TV006,Hoàng Đức Trung,2000-07-15,Nam,0966666666,"Ba Đình, Hà Nội"
TV007,Nguyễn Thị Mai,2001-09-22,Nữ,0966666667,"Hoàng Mai, Hà Nội"
TV008,Trần Văn Kiên,2002-04-18,Nam,0966666668,"Cầu Giấy, Hà Nội"
TV009,Lê Thị Phương,1999-06-30,Nữ,0966666669,"Đống Đa, Hà Nội"
TV010,Phạm Văn Hùng,2000-11-05,Nam,0966666670,"Hai Bà Trưng, Hà Nội"
TV011,Vũ Thị Lan,2001-02-14,Nữ,0966666671,"Thanh Xuân, Hà Nội"
TV012,Đỗ Văn Tuấn,2002-08-26,Nam,0966666672,"Ba Đình, Hà Nội"
TV013,Bùi Thị Hương,2000-03-10,Nữ,0966666673,"Hà Đông, Hà Nội"
TV014,Ngô Văn Bình,2001-05-20,Nam,0966666674,"Cầu Giấy, Hà Nội"
TV015,Đinh Thị Thu,2003-01-08,Nữ,0966666675,"Hoàng Mai, Hà Nội"
